city,country,avg_aqi,max_aqi,avg_pm2_5,max_pm2_5,elevated_aqi_hours,unhealthy_aqi_hours,expected_hours,valid_aqi_hours,aqi_coverage_pct,elevated_pct,operational_priority_score,priority_rank
Delhi,India,156.2,231.0,59.3,109.2,159,120,168,163,97.0,97.5,84.6,1
Mumbai,India,86.6,213.0,21.0,45.1,36,15,168,163,97.0,22.1,39.0,2
Singapore,Singapore,90.0,163.0,30.7,85.0,36,2,168,166,98.8,21.7,34.5,3
London,United Kingdom,42.5,81.0,10.2,35.9,0,0,168,159,94.6,0.0,11.0,4
New York,United States,52.1,73.0,10.6,30.2,0,0,168,154,91.7,0.0,10.1,5
Bengaluru,India,48.9,69.0,9.2,22.1,0,0,168,163,97.0,0.0,9.4,6
San Francisco,United States,52.8,56.0,10.3,13.4,0,0,168,168,100.0,0.0,8.1,7
